40ea7dc,JesusDBurgos,cambio en respuesta dashboard,Sat Oct 28 23:30:43 2023 -0500
2e447dc,JesusDBurgos,Añadir gestión de usuarios,Sat Oct 28 21:08:26 2023 -0500
d705b0f,JesusDBurgos,cambio en respuesta endpoint indicadores_dashboard,Thu Oct 26 01:13:56 2023 -0500
8dbfeea,JesusDBurgos,agregar endpoint de indicadores dashboard,Thu Oct 26 00:08:50 2023 -0500
091620e,JesusDBurgos,Revert "cambiosxD",Wed Oct 25 17:51:39 2023 -0500
12b687b,JesusDBurgos,Merge branch 'main' of https://github.com/JesusDBurgos/backend-viramsoft,Wed Oct 25 06:40:03 2023 -0500
fc00e2d,JesusDBurgos,Revert "Revert "cambios endpoint ventas por semana"",Wed Oct 25 06:37:55 2023 -0500
83b0e1a,JesusDBurgos,Revert "Revert "cambios endpoint ventas por semana"",Wed Oct 25 06:37:55 2023 -0500
3b8047d,JesusDBurgos,Revert "cambios endpoint ventas por semana",Wed Oct 25 06:36:58 2023 -0500
9ef81f2,JesusDBurgos,cambiosxD,Thu Oct 19 11:29:23 2023 -0500
3abb4ca,JesusDBurgos,cambios endpoint ventas por semana,Wed Oct 18 11:21:42 2023 -0500
0840a33,JesusDBurgos,cambio de la instancia de base de datos,Wed Oct 18 09:30:16 2023 -0500
ec9c948,JesusDBurgos,Actualización de endpoint de consulta semanal - visualizaciones,Tue Oct 17 11:04:55 2023 -0500
ec8c375,JesusDBurgos,Añadir endpoints de consultas para visualizaciones,Sun Oct 15 20:43:36 2023 -0500
8b36c73,JesusDBurgos,añadir nuevo router para dashboard,Thu Oct 12 23:43:02 2023 -0500
114a57e,JesusDBurgos,Creación de endpoint para cambiar estado de pedido a cancelado,Thu Oct 12 23:04:56 2023 -0500
8655306,JesusDBurgos,cambio en estados de clientes y sus consultas,Tue Oct 3 18:01:15 2023 -0500
fbe0e39,JesusDBurgos,Añadir endpoint cambio de estado de pedido a entregado,Tue Oct 3 17:28:07 2023 -0500
4859378,JesusDBurgos,endpoint version response base64,Sat Sep 30 18:53:58 2023 -0500
2936494,JesusDBurgos,Revert "Cambio en respuesta comprobante pedido",Sat Sep 30 18:53:28 2023 -0500
43c57e9,JesusDBurgos,Cambio en respuesta comprobante pedido,Thu Sep 28 10:34:55 2023 -0500
0104e9e,JesusDBurgos,Cambio en respuesta comprobante de pedido,Thu Sep 28 06:32:38 2023 -0500
9b2c181,JesusDBurgos,cambio en endpoint actualizar producto - correcion,Wed Sep 27 10:28:30 2023 -0500
0811ba4,JesusDBurgos,cambio en editar producto, edita imagenes,Wed Sep 27 08:46:17 2023 -0500
5db2948,JesusDBurgos,cambios en formato,Wed Sep 27 07:40:00 2023 -0500
7df2c6d,JesusDBurgos,Cambio en comprobante pedido, descarga automatica,Wed Sep 27 07:11:32 2023 -0500
fa237db,JesusDBurgos,Cambio en respuesta de endpoint de producto,Wed Sep 27 06:56:46 2023 -0500
de2563a,JesusDBurgos,Modificar endpoint de crear producto, añade imagen,Wed Sep 27 06:46:13 2023 -0500
7c70aee,JesusDBurgos,prueba 13,Wed Sep 27 06:30:43 2023 -0500
7b868f2,JesusDBurgos,prueba #999,Tue Sep 26 11:26:47 2023 -0500
f9cf7ec,JesusDBurgos,prueba #7,Tue Sep 26 11:10:34 2023 -0500
4c4301f,JesusDBurgos,prueba 6,Tue Sep 26 10:26:13 2023 -0500
19f246f,JesusDBurgos,prueba 5.1,Tue Sep 26 10:18:43 2023 -0500
19001a7,JesusDBurgos,prueba 5,Tue Sep 26 10:08:41 2023 -0500
5786069,JesusDBurgos,prueba #3,Tue Sep 26 10:02:11 2023 -0500
d546ce0,JesusDBurgos,prueba #2,Tue Sep 26 09:29:50 2023 -0500
effd49d,JesusDBurgos,prueba #01 endpoint crear producto,Tue Sep 26 09:18:41 2023 -0500
2d950f8,JesusDBurgos,Cambio a limite de 16MB por foto,Fri Sep 22 13:55:10 2023 -0500
3f1c6ab,JesusDBurgos,Correción en modelo de tabla imagenes_productos,Fri Sep 22 13:50:08 2023 -0500
3e67b51,JesusDBurgos,cambio en Store Procedure y endpoint get detalle pedido,Thu Sep 21 20:24:55 2023 -0500
6df25fd,JesusDBurgos,Corrección error de valores en comprobante pedido,Thu Sep 21 20:07:05 2023 -0500
05b3b24,JesusDBurgos,Cambio en formato visual de pdf comprobante pedido,Wed Sep 20 11:19:51 2023 -0500
45824ac,JesusDBurgos,cambio en generación de pdf de comprobande,Tue Sep 19 11:30:44 2023 -0500
0e406cf,JesusDBurgos,Cambio en respuesta de endpoint consulta detalle pedido,Tue Sep 19 09:14:04 2023 -0500
07a4f35,JesusDBurgos,Corregir validación en endpoint de crear pedido,Tue Sep 19 08:53:49 2023 -0500
d250bd1,JesusDBurgos,Cambio en respuesta de endpoint consulta de productos,Tue Sep 19 07:54:20 2023 -0500
535a1b6,JesusDBurgos,Merge branch 'main' of https://github.com/JesusDBurgos/backend-viramsoft,Tue Sep 19 07:21:53 2023 -0500
1842a43,JesusDBurgos,añadir endpoint consulta productos disponibles,Tue Sep 19 07:20:34 2023 -0500
35dd078,Jesus David Burgos Torres,Update requirements.txt,Tue Sep 19 06:37:00 2023 -0500
d13acd2,JesusDBurgos,Añadir endpoint de comprobante de pedido en pdf,Mon Sep 18 11:23:51 2023 -0500
0d3023c,JesusDBurgos,Agregar endpoint de detalle de pedido,Mon Sep 18 05:43:58 2023 -0500
3248ad0,JesusDBurgos,Actualización endpoint consulta productos para recibir la imagen si la tiene,Thu Sep 14 11:25:26 2023 -0500
3872386,JesusDBurgos,Añadir condicional para añadir si el producto no tiene foto, o editarla si ya tiene foto,Thu Sep 14 10:57:59 2023 -0500
